User Type,Username,Date,Text
,maximusarthurino,2007-06-26T19:35Z,"Actually, there are some of us who do care, Phxanarchy, and you sound too angry to make any rational comments.  Perhaps you need to pray.    Hee hee.  Oh, I forgot, you don't believe in prayer.

Thank you for the torrent greenviking, although it looks like no one is seeding.  PLEASE SEED!  Thank you."
,finerthingsrfree,2008-04-13T08:34Z,"Would love this, please seed someone!
Jesus Mary, Mercy!"
,kvnjosf,2008-10-05T18:59Z,"hey maximus and finerthings, try http://manybooks.net/titles/augustinetext02tcosa10.html"
