User Type,Username,Date,Text
,Raven_lord,2005-01-17T22:47Z,fan vad nice passar bra när man fyller om en vecka... tackar tackar
,Sthlmmicke,2005-01-17T22:48Z,hehe låter störtskönt..själv jobbar man som bartender...ska se om de stämmer som du säger =)..
,Midknight,2005-01-17T23:31Z,"Huuum...brukar man inte få, eller ge bort Molotovs.?...att beställa en var nytt...,)"
,pingan,2005-01-17T23:36Z,"Molotov Coctail!  Ägz0r!

:evo:"
,PLL,2005-01-18T09:08Z,14000 drinks and how to drink them :D!
,Panorama,2005-03-17T12:04Z,"som jag har förstått är detta en shareware, vilket gör att programmet fungerar även efter de 30dagarna oavsett registrering. Det är upp till var och en. 

Om man jobbar som bartender och har stor nytta av programmet kan det kanske vara en god gärning av regga prog"
[V],olingskoG,2006-12-11T17:42Z,Klockrent :P
