User Type,Username,Date,Text
,ford360,2007-07-18T05:37Z,Hows the quality?
,wtxn,2007-07-19T00:48Z,"That's what I want to know how's the quality. Don't want no stinking TS, want a rip R5 or better."
,lsim007,2007-07-19T12:17Z,stuck at 76%
,LÂ£FtY,2007-07-20T22:46Z,Fucking TS
,LÂ£FtY,2007-07-20T23:35Z,"There is missing parts in the movie too. 
"
,Danne_Matte,2007-07-20T23:50Z,"it's a cam film, not bad thoug for a cam, but anyhow a cam, so i rather wait for a proper dvdrip than seeing like this, but nice that someone puts it out there but sign what it is and not just .avi "
