User Type,Username,Date,Text
,blamblam,2005-08-16T00:00Z,"ummmm, any sed on this sucka?"
,thefunkyone,2006-02-27T01:39Z,I've just started downloading this and I will seed for ages once done. :-)
,Herbaliisa,2006-12-28T14:38Z,Any1 still feel like seeding this? Just started dl'in season 1. Would be nice to have... thx to all that are willing to help.
,-OLDBOY-,2007-05-06T23:09Z,Seed plz. Love this show.
,OleOdder,2007-07-24T10:31Z,"Can't wait for this one to finish, best show for grownups not looking for 'Friends' aike humor.

thanks toppenkillen"
,Sgt Pepper,2008-02-14T07:49Z,can we have seeding please?
,J-Cee,2008-02-22T05:03Z,Bad picture quality (only 47 kbps) should be over 115.
,akaangus,2009-03-27T23:44Z,This torrent is pretty good. Pretty pretty pretty pretty... pretty good!
