User Type,Username,Date,Text
,mrhoopoe,2007-10-27T22:30Z,song Somebody is damaged
[T],FiNsTeRc,2007-10-27T23:31Z,"mrhoopoe, try downloading the single file again. The track is fine and the info hash has not been compromised."
,bengha,2007-10-29T18:03Z,Thanx
,Righteous_Jude_of_CA,2007-11-21T13:35Z,"If you want this CD in better quality as 320kbps LAME MP3 or as WAV files, check this Pirate Bay Tracker link: http://thepiratebay.org/tor/3902489/Eagles_-_Long_Road_Out_Of_Eden_-_Entire_Album_(2CD__s)_-_A :)"
