User Type,Username,Date,Text
,ripper_dk,2008-01-27T13:33Z,"Trailer   
http://vids.myspace.com/index.cfm?fuseaction=vids.channel&ChannelID=283507599

Det er skjult kamera fra danmark."
,ripper_dk,2008-01-27T14:22Z,"dette er første gang jeg uploader noget og jeg har normalt 3 mbit upload. Hvordan kan jeg se min fil for den vises ikke i vuze programmet, så jeg kan ikke se om der er nogen igang med at suge den eller hvormeget jeg uploader lige den fil med.... HJÆLP "
,b2basics,2008-01-27T15:27Z,"Du seeder jo slet ikke.
Prøv igen."
,ripper_dk,2008-01-27T22:31Z,"Nu har jeg fået torrenten ned i min upload bar men den seeder stadig ikke. Jeg vil meget gerne finde fejlen men kan ikke finde ud af at løse det via p..gruppens side,så hvis du har foreslag så er jeg meget glad.

ripper_dk"
,JANHUBERT,2008-01-28T16:38Z,"Prøv et andet Torrent program.

Azureus eller Utorrent"
,mr-banshee,2008-02-17T17:14Z,er der overhoved nogen der ved om den er fake eller real??
