Zoom Karaoke 001-013 Contents.IF ANYONE HAS 014-020 PLEASE POST THEM THANKS..

www.forum.stirrup-entertainment.co.uk (vist us and ask for any karaoke you want)
If we've got it we'll torrent it..........................................ENJOY.

REMEMBER TO SHARE ITS ONLY FARE.!!!

MF CODE	TRACK	SONG	ARTIST
ZOOM006	10	INSTANT KARMA (WE ALL SHINE ON)	JOHN LENNON
ZOOM006	11	WHATEVER GETS YOU THRU THE NIGHT	JOHN LENNON
ZOOM006	12	NEVER NEVER NEVER	SHIRLEY BASSEY
ZOOM006	13	ANGELO	BROTHERHOOD OF MAN
ZOOM006	14	OH CAROL	SMOKIE
ZOOM006	15	RASPUTIN	BONEY M
ZOOM007	01	FOREVER AUTUMN	JUSTIN HAYWARD
ZOOM007	02	NO MORE HEROES	STRANGLERS
ZOOM007	03	MOONLIGHTING	LEO SAYER
ZOOM007	04	FAR FAR AWAY	SLADE
ZOOM007	05	TAKE ME I'M YOURS	SQUEEZE
ZOOM007	06	HOURGLASS	SQUEEZE
ZOOM007	07	THINGS WE DO FOR LOVE	10CC
ZOOM007	08	SUBSTITUTE	CLOUT
ZOOM007	09	WALKING IN THE RAIN	PARTRIDGE FAMILY
ZOOM007	10	LAY BACK IN THE ARMS OF SOMEONE	SMOKIE
ZOOM007	11	MACK THE KNIFE	ROBBIE WILLIAMS
ZOOM007	12	ON DAYS LIKE THESE	MATT MONROE
ZOOM007	13	FROM RUSSIA WITH LOVE	MATT MONROE
ZOOM007	14	SPIDER AND THE FLY	ROLLING STONES
ZOOM007	15	CAN'T TAKE MY EYES OFF OF YOU	BOYSTOWN GANG
ZOOM008	01	SHATTERED GLASS	ELLIE WARREN
ZOOM008	02	RUNNING IN THE FAMILY	LEVEL 42
ZOOM008	03	BRIDGE TO YOUR HEART	WAX
ZOOM008	04	NEW SONG	HOWARD JONES
ZOOM008	05	LIKE TO GET TO KNOW YOU WELL	HOWARD JONES
ZOOM008	06	LOOKING FOR LINDA	HUE AND CRY
ZOOM008	07	LOVE WORTH WAITING FOR	SHAKIN' STEVENS
ZOOM008	08	GOOD HEART	FEARGAL SHARKEY
ZOOM008	09	YOU'LL NEVER KNOW	HI GLOSS
ZOOM008	10	BODY ROCK	MARIA VIDAL
ZOOM008	11	RUSH HOUR	JANE WIEDLIN
ZOOM008	12	WALKING IN MEMPHIS	MARC COHN
ZOOM008	13	WALK OF LIFE	DIRE STRAITS
ZOOM008	14	LAST NIGHT A DJ SAVED MY LIFE	INDEEP
ZOOM008	15	KETCHUP SONG	LAS KETCHUP
ZOOM009	01	MERRY CHRISTMAS EVERYONE	SHAKIN' STEVENS
ZOOM009	02	ALL I WANT FOR CHRISTMAS IS YOU	MARIAH CAREY
ZOOM009	03	2000 MILES	PRETENDERS
ZOOM009	04	SPACEMAN CAME TRAVELLING	CHRIS DE BURGH
ZOOM009	05	WINTER'S TALE	DAVID ESSEX
ZOOM009	06	DRIVING HOME FOR CHRISTMAS	CHRIS REA
ZOOM009	07	FAIRYTALE OF NEW YORK	POGUES
ZOOM009	08	BEST CHRISTMAS OF THEM ALL	SHAKIN' STEVENS
ZOOM009	09	HAPPY CHRISTMAS (WAR IS OVER)	JOHN LENNON
ZOOM009	10	I BELIEVE IN FATHER CHRISTMAS	GREG LAKE
ZOOM009	11	I WISH IT COULD BE CHRISTMAS EVERY	WIZZARD
